stride_bytes,run,avg_cycles_per_access
64,47,44.09
64,48,52.17
64,49,52.37
128,0,108.69
128,1,101.38
128,2,92.67
128,3,59.84
128,4,106.28
128,5,99.57
128,6,92.71
128,7,68.48
128,8,110.46
128,9,68.32
128,10,98.98
128,11,66.60
128,12,92.50
128,13,68.70
128,14,116.53
128,15,100.51
128,16,92.43
128,17,90.66
128,18,108.41
128,19,104.49
128,20,60.45
128,21,101.25
128,22,109.23
128,23,117.18
128,24,98.74
128,25,109.39
128,26,109.18
128,27,77.12
128,28,101.35
128,29,119.09
128,30,100.97
128,31,102.90
128,32,68.86
128,33,108.83
128,34,92.65
128,35,92.64
128,36,100.62
128,37,68.43
128,38,98.39
128,39,60.47
128,40,110.63
128,41,108.46
128,42,100.51
128,43,100.69
128,44,76.47
128,45,100.59
128,46,60.74
128,47,100.65
128,48,106.57
128,49,100.89
256,0,104.00
256,1,101.85
256,2,117.92
256,3,101.91
256,4,93.98
256,5,101.68
256,6,117.43
256,7,101.47
256,8,101.15
256,9,117.44
256,10,104.11
256,11,59.61
256,12,100.37
256,13,101.48
256,14,109.37
256,15,93.33
256,16,101.38
256,17,109.58
256,18,101.79
256,19,117.64
256,20,109.50
256,21,109.05
256,22,107.71
256,23,100.33
256,24,69.38
256,25,109.58
256,26,101.48
256,27,61.38
256,28,101.37
256,29,107.53
256,30,109.35
256,31,133.37
256,32,93.70
256,33,101.58
256,34,107.72
256,35,101.63
256,36,61.52
256,37,109.73
256,38,109.54
256,39,61.42
256,40,101.58
256,41,110.28
256,42,68.08
256,43,100.14
256,44,115.31
256,45,99.21
256,46,97.85
256,47,106.12
256,48,65.89
256,49,97.34
512,0,103.52
512,1,97.76
512,2,58.39
512,3,59.38
512,4,109.18
512,5,109.53
512,6,97.94
512,7,104.54
512,8,105.57
512,9,113.47
512,10,145.77
512,11,105.38
512,12,107.23
512,13,95.89
512,14,102.87
512,15,101.96
512,16,101.58
512,17,101.40
512,18,101.59
512,19,109.33
512,20,99.21
512,21,101.26
512,22,118.51
512,23,101.18
512,24,101.02
512,25,117.14
512,26,61.44
512,27,101.26
512,28,101.01
512,29,68.95
512,30,125.36
512,31,101.13
512,32,101.02
512,33,109.14
512,34,101.06
512,35,60.86
512,36,101.03
512,37,101.07
512,38,109.15
512,39,101.03
512,40,101.13
512,41,101.13
512,42,93.24
512,43,69.00
512,44,101.19
512,45,60.96
512,46,101.21
512,47,109.02
512,48,69.03
512,49,100.69
1024,0,96.60
1024,1,113.89
1024,2,105.46
1024,3,113.42
1024,4,92.05
1024,5,105.30
1024,6,105.49
1024,7,145.52
1024,8,105.50
1024,9,113.35
1024,10,105.34
1024,11,105.35
1024,12,105.30
1024,13,101.11
1024,14,113.36
1024,15,113.36
1024,16,121.40
1024,17,97.28
1024,18,105.32
1024,19,113.31
1024,20,105.27
1024,21,113.37
1024,22,105.23
1024,23,113.19
1024,24,97.14
1024,25,105.26
1024,26,105.20
1024,27,113.40
1024,28,121.40
1024,29,113.26
1024,30,105.29
1024,31,97.19
1024,32,105.19
1024,33,113.68
1024,34,145.57
1024,35,107.79
1024,36,108.19
1024,37,107.77
1024,38,148.10
1024,39,107.86
1024,40,107.93
1024,41,105.97
1024,42,105.33
1024,43,145.68
1024,44,113.70
1024,45,115.30
1024,46,121.43
1024,47,93.21
1024,48,105.36
1024,49,105.29
2048,0,163.63
2048,1,114.48
2048,2,114.43
2048,3,146.50
2048,4,114.59
2048,5,106.17
2048,6,110.31
2048,7,98.32
2048,8,106.30
2048,9,114.29
2048,10,146.31
2048,11,114.21
2048,12,106.35
2048,13,116.31
2048,14,106.16
2048,15,106.31
2048,16,105.99
2048,17,112.71
2048,18,145.55
2048,19,114.19
2048,20,97.60
2048,21,106.29
2048,22,138.53
2048,23,106.36
2048,24,122.25
2048,25,115.59
2048,26,144.58
2048,27,112.44
2048,28,104.12
2048,29,96.00
2048,30,112.22
2048,31,103.99
2048,32,103.85
2048,33,107.94
2048,34,96.61
2048,35,104.51
2048,36,104.53
2048,37,112.63
2048,38,106.13
2048,39,96.59
2048,40,104.80
2048,41,98.30
2048,42,107.92
2048,43,106.40
2048,44,114.34
2048,45,114.47
2048,46,106.48
2048,47,98.23
2048,48,106.35
2048,49,146.64
4096,0,115.88
4096,1,159.92
4096,2,115.85
4096,3,107.69
4096,4,102.96
4096,5,151.50
4096,6,159.37
4096,7,157.24
4096,8,110.65
4096,9,102.33
4096,10,108.89
4096,11,107.76
4096,12,107.94
4096,13,107.74
4096,14,99.73
4096,15,107.87
4096,16,115.86
4096,17,116.80
4096,18,107.74
4096,19,147.85
4096,20,107.92
4096,21,115.90
4096,22,107.89
4096,23,99.78
4096,24,107.77
4096,25,107.75
4096,26,147.89
4096,27,107.83
4096,28,164.08
4096,29,115.84
4096,30,147.93
4096,31,115.96
4096,32,147.88
4096,33,108.06
4096,34,141.37
4096,35,107.47
4096,36,139.84
4096,37,107.80
4096,38,114.05
4096,39,91.89
4096,40,115.77
4096,41,115.90
4096,42,116.00
4096,43,115.84
4096,44,107.80
4096,45,107.82
4096,46,107.82
4096,47,107.72
4096,48,99.65
4096,49,75.73
8192,0,152.86
8192,1,206.67
8192,2,167.29
8192,3,159.09
8192,4,175.43
8192,5,199.23
8192,6,210.14
8192,7,199.22
8192,8,153.72
8192,9,169.62
8192,10,199.01
8192,11,164.02
8192,12,172.75
8192,13,163.37
8192,14,201.77
8192,15,149.98
8192,16,165.69
8192,17,223.71
8192,18,172.48
8192,19,191.04
8192,20,175.24
8192,21,165.06
8192,22,154.36
8192,23,222.24
8192,24,161.87
8192,25,192.85
8192,26,199.22
8192,27,162.67
8192,28,190.94
8192,29,199.17
8192,30,207.25
8192,31,165.87
8192,32,156.65
8192,33,164.88
8192,34,203.21
8192,35,164.35
8192,36,196.73
8192,37,164.59
8192,38,180.53
8192,39,188.69
8192,40,173.86
8192,41,160.46
8192,42,159.36
8192,43,157.26
8192,44,169.88
8192,45,162.02
8192,46,162.75
8192,47,169.10
8192,48,162.55
8192,49,168.81
16384,0,208.33
16384,1,207.42
