type,stride,run,cycles_per_access
stride,512,20,26.65
stride,1024,20,26.53
random,NA,20,28.14
sequential,1,21,9.85
stride,2,21,9.75
stride,4,21,9.80
stride,8,21,13.76
stride,16,21,20.48
stride,32,21,24.87
stride,64,21,23.71
stride,128,21,24.57
stride,256,21,25.24
stride,512,21,26.24
stride,1024,21,25.80
random,NA,21,27.25
sequential,1,22,9.85
stride,2,22,9.72
stride,4,22,9.78
stride,8,22,13.93
stride,16,22,21.41
stride,32,22,25.19
stride,64,22,24.23
stride,128,22,24.83
stride,256,22,25.38
stride,512,22,26.47
stride,1024,22,26.76
random,NA,22,26.77
sequential,1,23,9.85
stride,2,23,9.71
stride,4,23,9.76
stride,8,23,13.77
stride,16,23,20.52
stride,32,23,24.66
stride,64,23,23.79
stride,128,23,24.57
stride,256,23,25.16
stride,512,23,26.54
stride,1024,23,25.70
random,NA,23,26.74
sequential,1,24,9.84
stride,2,24,9.71
stride,4,24,9.79
stride,8,24,13.76
stride,16,24,20.49
stride,32,24,24.70
stride,64,24,23.76
stride,128,24,24.58
stride,256,24,25.27
stride,512,24,26.45
stride,1024,24,26.05
random,NA,24,27.36
sequential,1,25,9.85
stride,2,25,9.75
stride,4,25,9.79
stride,8,25,13.96
stride,16,25,21.06
stride,32,25,25.15
stride,64,25,24.12
stride,128,25,24.78
stride,256,25,25.38
stride,512,25,26.39
stride,1024,25,25.95
random,NA,25,27.12
sequential,1,26,9.84
stride,2,26,9.70
stride,4,26,9.79
stride,8,26,13.97
stride,16,26,20.85
stride,32,26,25.31
stride,64,26,24.10
stride,128,26,24.64
stride,256,26,25.23
stride,512,26,26.77
stride,1024,26,26.06
random,NA,26,27.07
sequential,1,27,9.85
stride,2,27,9.72
stride,4,27,9.77
stride,8,27,13.96
stride,16,27,20.86
stride,32,27,26.00
stride,64,27,24.18
stride,128,27,24.72
stride,256,27,25.48
stride,512,27,26.39
stride,1024,27,26.07
random,NA,27,27.08
sequential,1,28,9.85
stride,2,28,9.72
stride,4,28,9.79
stride,8,28,13.94
stride,16,28,21.07
stride,32,28,25.91
stride,64,28,24.17
stride,128,28,24.67
stride,256,28,25.31
stride,512,28,26.33
stride,1024,28,26.55
random,NA,28,27.06
sequential,1,29,9.85
stride,2,29,9.72
stride,4,29,9.80
stride,8,29,13.93
stride,16,29,20.88
stride,32,29,25.44
stride,64,29,24.02
stride,128,29,24.68
stride,256,29,25.35
stride,512,29,26.36
stride,1024,29,26.06
random,NA,29,27.06
sequential,1,30,9.85
stride,2,30,9.73
stride,4,30,9.79
stride,8,30,13.96
stride,16,30,21.11
stride,32,30,25.36
stride,64,30,23.95
stride,128,30,24.67
stride,256,30,25.39
stride,512,30,26.50
stride,1024,30,26.00
random,NA,30,27.07
sequential,1,31,9.84
stride,2,31,9.72
stride,4,31,9.80
stride,8,31,13.97
stride,16,31,21.15
stride,32,31,25.25
stride,64,31,24.10
stride,128,31,24.59
stride,256,31,25.43
stride,512,31,26.37
stride,1024,31,26.58
random,NA,31,27.08
sequential,1,32,9.85
stride,2,32,9.72
stride,4,32,9.77
stride,8,32,13.91
stride,16,32,21.07
stride,32,32,25.61
stride,64,32,23.69
stride,128,32,24.66
stride,256,32,25.42
stride,512,32,26.46
stride,1024,32,26.62
random,NA,32,26.97
sequential,1,33,9.83
stride,2,33,9.72
stride,4,33,9.80
stride,8,33,13.97
stride,16,33,21.12
stride,32,33,25.28
stride,64,33,24.05
stride,128,33,24.84
stride,256,33,25.20
stride,512,33,26.38
stride,1024,33,25.84
random,NA,33,26.83
sequential,1,34,9.85
stride,2,34,9.70
stride,4,34,9.76
stride,8,34,13.98
stride,16,34,20.65
stride,32,34,24.93
stride,64,34,23.83
stride,128,34,24.85
stride,256,34,25.21
stride,512,34,26.88
stride,1024,34,26.16
random,NA,34,26.97
sequential,1,35,9.84
stride,2,35,9.74
stride,4,35,9.78
stride,8,35,13.96
stride,16,35,20.92
stride,32,35,25.70
stride,64,35,23.99
stride,128,35,24.87
stride,256,35,25.26
stride,512,35,26.36
stride,1024,35,25.94
random,NA,35,27.22
sequential,1,36,9.85
stride,2,36,9.73
stride,4,36,9.78
stride,8,36,14.00
stride,16,36,20.98
stride,32,36,25.07
stride,64,36,24.08
stride,128,36,24.71
stride,256,36,25.50
stride,512,36,26.40
stride,1024,36,25.89
random,NA,36,26.84
sequential,1,37,9.84
