stride_bytes,run,avg_cycles_per_access
64,47,63.17
64,48,73.03
64,49,83.13
128,0,124.51
128,1,124.26
128,2,79.29
128,3,89.21
128,4,88.97
128,5,114.13
128,6,79.53
128,7,89.74
128,8,116.66
128,9,89.19
128,10,79.25
128,11,124.12
128,12,124.18
128,13,79.20
128,14,79.23
128,15,79.18
128,16,124.27
128,17,69.33
128,18,76.79
128,19,69.09
128,20,124.10
128,21,134.32
128,22,69.41
128,23,69.50
128,24,69.11
128,25,121.77
128,26,69.38
128,27,69.52
128,28,69.49
128,29,134.14
128,30,134.16
128,31,79.37
128,32,79.51
128,33,69.37
128,34,126.62
128,35,144.22
128,36,89.31
128,37,79.34
128,38,61.47
128,39,124.66
128,40,79.11
128,41,89.22
128,42,79.16
128,43,134.07
128,44,124.27
128,45,69.60
128,46,115.13
128,47,126.69
128,48,69.26
128,49,79.23
256,0,138.74
256,1,128.64
256,2,93.48
256,3,103.51
256,4,138.73
256,5,128.69
256,6,56.27
256,7,139.65
256,8,124.98
256,9,84.63
256,10,128.75
256,11,128.78
256,12,83.85
256,13,128.90
256,14,129.31
256,15,74.08
256,16,129.07
256,17,109.60
256,18,138.50
256,19,128.34
256,20,138.38
256,21,148.35
256,22,128.33
256,23,127.38
256,24,138.35
256,25,73.60
256,26,138.41
256,27,118.43
256,28,108.46
256,29,73.82
256,30,118.87
256,31,133.50
256,32,73.80
256,33,128.69
256,34,108.71
256,35,138.98
256,36,63.89
256,37,138.74
256,38,138.56
256,39,83.75
256,40,129.05
256,41,118.88
256,42,138.70
256,43,83.81
256,44,148.70
256,45,138.73
256,46,73.86
256,47,73.75
256,48,118.33
256,49,128.33
512,0,115.50
512,1,105.54
512,2,135.58
512,3,108.11
512,4,145.53
512,5,135.53
512,6,125.52
512,7,125.58
512,8,70.59
512,9,80.67
512,10,80.58
512,11,70.66
512,12,80.67
512,13,80.66
512,14,80.63
512,15,80.59
512,16,125.61
512,17,145.58
512,18,135.66
512,19,125.97
512,20,70.65
512,21,80.71
512,22,90.64
512,23,135.63
512,24,135.59
512,25,125.66
512,26,125.65
512,27,135.63
512,28,125.60
512,29,135.61
512,30,90.58
512,31,80.63
512,32,80.66
512,33,70.58
512,34,70.58
512,35,80.57
512,36,80.58
512,37,135.51
512,38,115.54
512,39,125.71
512,40,135.54
512,41,125.61
512,42,125.66
512,43,125.67
512,44,70.63
512,45,70.67
512,46,60.62
512,47,70.67
512,48,70.64
512,49,80.62
1024,0,81.33
1024,1,71.30
1024,2,71.30
1024,3,78.78
1024,4,71.26
1024,5,71.29
1024,6,81.26
1024,7,81.43
1024,8,91.26
1024,9,71.24
1024,10,81.23
1024,11,81.24
1024,12,81.19
1024,13,91.24
1024,14,81.20
1024,15,81.21
1024,16,136.23
1024,17,126.19
1024,18,126.23
1024,19,126.26
1024,20,116.23
1024,21,126.25
1024,22,126.24
1024,23,126.26
1024,24,126.32
1024,25,116.26
1024,26,116.23
1024,27,116.38
1024,28,123.73
1024,29,136.26
1024,30,146.26
1024,31,136.26
1024,32,136.25
1024,33,116.25
1024,34,126.20
1024,35,136.25
1024,36,136.30
1024,37,136.31
1024,38,126.28
1024,39,131.28
1024,40,138.77
1024,41,126.26
1024,42,126.27
1024,43,126.26
1024,44,136.22
1024,45,136.27
1024,46,126.26
1024,47,126.21
1024,48,106.25
1024,49,116.29
2048,0,84.26
2048,1,84.23
2048,2,139.23
2048,3,129.17
2048,4,74.24
2048,5,119.25
2048,6,119.22
2048,7,84.21
2048,8,129.19
2048,9,149.24
2048,10,84.20
2048,11,139.18
2048,12,129.22
2048,13,84.19
2048,14,129.24
2048,15,135.20
2048,16,119.17
2048,17,129.19
2048,18,94.21
2048,19,139.22
2048,20,149.21
2048,21,84.26
2048,22,129.22
2048,23,119.21
2048,24,74.19
2048,25,139.22
2048,26,129.26
2048,27,74.19
2048,28,129.18
2048,29,119.21
2048,30,74.20
2048,31,129.25
2048,32,129.22
2048,33,84.17
2048,34,74.22
2048,35,119.24
2048,36,121.75
2048,37,64.25
2048,38,139.21
2048,39,149.23
2048,40,84.51
2048,41,139.24
2048,42,119.29
2048,43,84.18
2048,44,136.73
2048,45,94.31
2048,46,129.22
2048,47,121.73
2048,48,139.28
2048,49,129.37
4096,0,144.05
4096,1,134.11
4096,2,134.12
4096,3,134.04
4096,4,78.97
4096,5,134.05
4096,6,134.02
4096,7,134.04
4096,8,134.00
4096,9,134.01
4096,10,124.03
4096,11,134.05
4096,12,114.11
4096,13,78.94
4096,14,124.11
4096,15,133.96
4096,16,134.03
4096,17,144.02
4096,18,113.98
4096,19,134.02
4096,20,114.00
4096,21,154.01
4096,22,78.97
4096,23,146.45
4096,24,134.00
4096,25,153.97
4096,26,139.18
4096,27,143.93
4096,28,133.99
4096,29,144.10
4096,30,144.05
4096,31,108.92
4096,32,144.03
4096,33,153.98
4096,34,144.02
4096,35,133.98
4096,36,134.10
4096,37,143.99
4096,38,143.99
4096,39,143.96
4096,40,88.94
4096,41,133.94
4096,42,144.00
4096,43,133.99
4096,44,134.05
4096,45,123.98
4096,46,133.98
4096,47,134.07
4096,48,144.06
4096,49,78.96
8192,0,146.36
8192,1,126.45
8192,2,156.37
8192,3,136.35
8192,4,146.35
8192,5,136.35
8192,6,126.31
8192,7,146.37
8192,8,126.33
8192,9,146.31
8192,10,126.34
8192,11,191.35
8192,12,146.33
8192,13,146.35
8192,14,146.36
8192,15,136.61
8192,16,136.36
8192,17,136.33
8192,18,136.31
8192,19,146.31
8192,20,136.32
8192,21,136.33
8192,22,191.40
8192,23,146.36
8192,24,108.81
8192,25,136.35
8192,26,126.35
8192,27,146.34
8192,28,136.31
8192,29,146.33
8192,30,135.40
8192,31,126.37
8192,32,146.35
8192,33,146.32
8192,34,146.32
8192,35,136.32
8192,36,136.30
8192,37,136.34
8192,38,191.34
8192,39,146.38
8192,40,136.35
8192,41,136.39
8192,42,126.41
8192,43,146.36
8192,44,146.32
8192,45,136.35
8192,46,126.32
8192,47,146.30
8192,48,146.33
8192,49,143.86
16384,0,147.33
16384,1,137.32
16384,2,147.31
16384,3,127.30
16384,4,202.33
16384,5,117.31
16384,6,157.33
16384,7,127.28
16384,8,164.84
16384,9,127.29
16384,10,147.34
16384,11,147.26
16384,12,147.31
16384,13,147.30
16384,14,192.33
16384,15,127.25
16384,16,147.26
16384,17,137.20
16384,18,147.23
16384,19,147.30
16384,20,157.29
16384,21,192.37
16384,22,137.25
16384,23,147.31
16384,24,127.28
16384,25,199.98
16384,26,127.31
16384,27,147.31
16384,28,127.29
16384,29,92.35
16384,30,127.21
16384,31,182.34
16384,32,147.25
16384,33,147.24
16384,34,139.83
16384,35,147.35
16384,36,127.20
16384,37,129.73
16384,38,137.27
16384,39,147.32
16384,40,137.26
16384,41,157.34
16384,42,182.33
16384,43,137.27
16384,44,137.25
16384,45,147.26
16384,46,124.84
16384,47,137.34
16384,48,127.29
16384,49,147.26
32768,0,130.86
32768,1,185.82
32768,2,140.86
32768,3,150.81
32768,4,196.04
32768,5,140.85
32768,6,150.82
32768,7,195.92
32768,8,150.86
32768,9,140.86
32768,10,195.84
32768,11,160.88
32768,12,140.83
32768,13,195.93
32768,14,150.84
32768,15,140.84
32768,16,195.91
32768,17,150.79
32768,18,140.84
32768,19,195.92
32768,20,150.86
32768,21,130.83
32768,22,185.88
32768,23,140.81
32768,24,140.81
32768,25,150.94
32768,26,185.85
32768,27,178.31
32768,28,140.81
32768,29,130.81
32768,30,195.88
32768,31,130.80
32768,32,140.78
32768,33,185.89
32768,34,140.82
32768,35,188.39
32768,36,150.82
32768,37,120.83
32768,38,196.01
32768,39,150.96
32768,40,140.80
32768,41,203.38
32768,42,130.83
32768,43,130.79
32768,44,185.85
32768,45,150.85
32768,46,140.86
32768,47,185.94
32768,48,160.87
32768,49,148.34
65536,0,206.18
65536,1,151.21
65536,2,131.20
65536,3,188.80
65536,4,141.29
65536,5,151.21
65536,6,151.13
65536,7,176.19
65536,8,151.07
65536,9,186.12
65536,10,141.14
65536,11,148.70
65536,12,196.12
65536,13,196.28
65536,14,151.18
65536,15,176.28
65536,16,131.23
65536,17,151.18
65536,18,196.33
65536,19,186.24
65536,20,151.16
65536,21,141.19
65536,22,196.18
65536,23,156.20
65536,24,131.21
65536,25,196.24
65536,26,131.08
65536,27,151.10
65536,28,141.04
65536,29,186.15
65536,30,161.16
65536,31,151.24
65536,32,191.29
65536,33,141.21
65536,34,141.18
65536,35,151.21
65536,36,196.18
65536,37,141.13
65536,38,151.20
65536,39,128.67
65536,40,186.19
65536,41,151.18
65536,42,157.75
65536,43,131.12
65536,44,141.19
65536,45,141.34
65536,46,196.14
65536,47,138.74
65536,48,131.12
65536,49,206.28
