working_set_size_bytes,time_per_access_cycles
4096,8.04
8192,29.53
16384,31.53
32768,26.04
65536,70.01
131072,74.40
262144,111.02
524288,237.86
1048576,320.62
2097152,302.76
4194304,359.94
8388608,933.99
16777216,1238.21
33554432,1340.59
67108864,1384.17
134217728,1435.95
