run,latency_cycles
349,5.453656
350,4.632101
351,4.661857
352,4.639364
353,4.840838
354,5.442237
355,4.638381
356,4.645787
357,-2.165947
358,-2.957441
359,-2.967417
360,-2.165433
361,-2.160926
362,-2.161955
363,-2.368278
364,-2.967193
365,-2.222065
366,-2.165943
367,-2.151113
368,-2.160255
369,-3.154446
370,-2.157893
371,-2.763071
372,-2.160389
373,-2.359613
374,-2.966604
375,1.242662
376,4.626941
377,4.638426
378,4.642338
379,4.638387
380,5.432010
381,4.653481
382,5.039860
383,4.843837
384,4.647136
385,5.447919
386,4.847504
387,4.647158
388,4.652540
389,4.645650
390,5.442902
391,4.836667
392,4.637591
393,4.650975
394,5.239089
395,4.634266
396,4.641559
397,5.647596
398,4.636540
399,4.842325
400,4.634938
401,4.643591
402,4.643679
403,5.436962
404,4.852826
405,4.638333
406,4.642567
407,5.443107
408,4.641416
409,4.849218
410,4.639381
411,4.642127
412,4.643294
413,5.436640
414,4.843655
415,4.633852
416,4.643394
417,5.442225
418,4.638183
419,4.846803
420,4.641414
421,4.645043
422,5.437793
423,4.637112
424,4.846974
425,4.631262
426,4.638262
427,5.438991
428,4.638733
429,4.852423
430,4.641792
431,5.038331
432,4.649518
433,4.647341
434,5.651046
435,4.654964
436,4.846041
437,4.647347
438,4.654206
439,5.441191
440,5.044148
441,4.635856
442,4.648595
443,4.632423
444,4.643534
445,4.638469
446,5.633346
447,4.646748
448,4.236784
449,4.635701
450,4.838872
451,5.433165
452,4.628359
453,4.636802
454,4.641636
455,4.832141
456,5.448667
457,4.643778
458,4.642931
459,4.642957
460,4.646648
461,4.841307
462,5.444390
463,4.246975
464,4.647036
465,4.646510
466,5.643809
467,4.652298
468,5.834966
469,4.634231
470,4.645476
471,4.634268
472,5.638643
473,4.649311
474,4.635711
475,4.634464
476,5.432517
477,4.840806
478,4.646851
479,4.641308
480,4.637159
481,4.849145
482,4.845035
483,4.845773
484,4.842531
485,4.844238
486,3.485761
487,4.844967
488,5.443207
489,4.639689
490,4.643603
491,4.650496
492,-3.165457
493,-2.162738
494,-2.154032
495,-2.164202
496,-2.958485
497,-2.164434
498,-2.967893
499,-2.159772
