working_set_size_bytes,time_per_access_cycles
4096,8.83
8192,29.65
16384,21.66
32768,20.07
65536,42.48
131072,58.20
262144,72.14
524288,95.27
1048576,126.81
2097152,110.86
4194304,319.82
8388608,362.18
16777216,444.43
33554432,743.03
67108864,965.21
134217728,1123.01
