type,stride,run,cycles_per_access
stride,512,20,18.41
stride,1024,20,18.48
random,NA,20,19.28
sequential,1,21,6.20
stride,2,21,6.60
stride,4,21,7.42
stride,8,21,10.03
stride,16,21,17.74
stride,32,21,18.33
stride,64,21,18.38
stride,128,21,18.40
stride,256,21,18.38
stride,512,21,18.19
stride,1024,21,18.23
random,NA,21,19.29
sequential,1,22,6.23
stride,2,22,6.58
stride,4,22,7.42
stride,8,22,10.03
stride,16,22,17.77
stride,32,22,18.33
stride,64,22,18.41
stride,128,22,18.43
stride,256,22,18.39
stride,512,22,18.27
stride,1024,22,18.64
random,NA,22,19.30
sequential,1,23,6.20
stride,2,23,6.58
stride,4,23,7.42
stride,8,23,10.05
stride,16,23,17.75
stride,32,23,18.39
stride,64,23,18.39
stride,128,23,18.39
stride,256,23,18.36
stride,512,23,18.56
stride,1024,23,18.41
random,NA,23,19.33
sequential,1,24,6.20
stride,2,24,6.58
stride,4,24,7.41
stride,8,24,10.07
stride,16,24,18.51
stride,32,24,18.34
stride,64,24,18.36
stride,128,24,18.36
stride,256,24,18.21
stride,512,24,18.16
stride,1024,24,18.37
random,NA,24,19.29
sequential,1,25,6.20
stride,2,25,6.58
stride,4,25,7.41
stride,8,25,10.04
stride,16,25,17.84
stride,32,25,18.42
stride,64,25,18.48
stride,128,25,18.40
stride,256,25,18.41
stride,512,25,18.44
stride,1024,25,18.61
random,NA,25,19.31
sequential,1,26,6.20
stride,2,26,6.58
stride,4,26,7.41
stride,8,26,10.03
stride,16,26,17.75
stride,32,26,18.34
stride,64,26,18.39
stride,128,26,18.34
stride,256,26,18.36
stride,512,26,18.33
stride,1024,26,18.62
random,NA,26,19.31
sequential,1,27,6.21
stride,2,27,6.61
stride,4,27,7.43
stride,8,27,10.05
stride,16,27,17.75
stride,32,27,18.33
stride,64,27,18.37
stride,128,27,18.34
stride,256,27,18.32
stride,512,27,18.34
stride,1024,27,18.50
random,NA,27,19.30
sequential,1,28,6.20
stride,2,28,6.61
stride,4,28,7.42
stride,8,28,10.04
stride,16,28,17.77
stride,32,28,18.33
stride,64,28,18.38
stride,128,28,18.36
stride,256,28,18.36
stride,512,28,18.33
stride,1024,28,18.54
random,NA,28,19.31
sequential,1,29,6.20
stride,2,29,6.58
stride,4,29,7.41
stride,8,29,10.04
stride,16,29,17.77
stride,32,29,18.36
stride,64,29,18.51
stride,128,29,18.34
stride,256,29,18.90
stride,512,29,18.29
stride,1024,29,18.64
random,NA,29,19.30
sequential,1,30,6.22
stride,2,30,6.59
stride,4,30,7.43
stride,8,30,10.02
stride,16,30,17.75
stride,32,30,18.33
stride,64,30,18.35
stride,128,30,18.35
stride,256,30,18.26
stride,512,30,18.30
stride,1024,30,18.48
random,NA,30,19.30
sequential,1,31,6.21
stride,2,31,6.58
stride,4,31,7.41
stride,8,31,10.05
stride,16,31,17.78
stride,32,31,18.38
stride,64,31,18.40
stride,128,31,18.40
stride,256,31,18.35
stride,512,31,18.27
stride,1024,31,18.98
random,NA,31,19.30
sequential,1,32,6.20
stride,2,32,6.58
stride,4,32,7.42
stride,8,32,10.03
stride,16,32,17.78
stride,32,32,18.40
stride,64,32,18.41
stride,128,32,18.38
stride,256,32,18.38
stride,512,32,18.32
stride,1024,32,18.45
random,NA,32,19.30
sequential,1,33,6.21
stride,2,33,6.58
stride,4,33,7.42
stride,8,33,10.05
stride,16,33,17.74
stride,32,33,18.36
stride,64,33,20.45
stride,128,33,18.39
stride,256,33,18.29
stride,512,33,18.34
stride,1024,33,18.47
random,NA,33,19.30
sequential,1,34,6.20
stride,2,34,6.58
stride,4,34,7.61
stride,8,34,10.03
stride,16,34,17.78
stride,32,34,18.41
stride,64,34,18.41
stride,128,34,18.40
stride,256,34,18.36
stride,512,34,18.25
stride,1024,34,18.67
random,NA,34,19.32
sequential,1,35,6.20
stride,2,35,6.58
stride,4,35,7.43
stride,8,35,10.06
stride,16,35,17.83
stride,32,35,18.47
stride,64,35,18.44
stride,128,35,18.38
stride,256,35,18.37
stride,512,35,18.29
stride,1024,35,18.60
random,NA,35,19.27
sequential,1,36,6.20
stride,2,36,6.58
stride,4,36,7.42
stride,8,36,10.03
stride,16,36,17.78
stride,32,36,18.41
stride,64,36,18.46
stride,128,36,18.44
stride,256,36,18.29
stride,512,36,18.23
stride,1024,36,18.36
random,NA,36,19.29
sequential,1,37,6.21
stride,2,37,6.60
stride,4,37,7.41
stride,8,37,10.04
stride,16,37,17.80
stride,32,37,18.32
stride,64,37,18.37
stride,128,37,18.37
stride,256,37,18.27
stride,512,37,18.24
stride,1024,37,18.80
random,NA,37,19.27
sequential,1,38,6.20
stride,2,38,6.58
stride,4,38,7.43
stride,8,38,10.08
stride,16,38,17.85
stride,32,38,18.37
stride,64,38,18.43
stride,128,38,18.38
stride,256,38,18.34
stride,512,38,18.31
stride,1024,38,18.31
random,NA,38,19.29
sequential,1,39,6.20
stride,2,39,6.58
stride,4,39,7.42
stride,8,39,10.04
stride,16,39,17.80
stride,32,39,18.39
stride,64,39,18.41
stride,128,39,18.42
stride,256,39,18.30
stride,512,39,18.37
stride,1024,39,18.56
random,NA,39,19.30
sequential,1,40,6.21
stride,2,40,6.58
stride,4,40,7.42
stride,8,40,10.08
stride,16,40,17.72
stride,32,40,18.33
stride,64,40,18.39
stride,128,40,18.41
stride,256,40,18.29
stride,512,40,18.25
stride,1024,40,18.49
random,NA,40,19.31
sequential,1,41,6.20
stride,2,41,6.58
stride,4,41,7.44
stride,8,41,10.02
stride,16,41,17.74
stride,32,41,18.32
stride,64,41,18.37
stride,128,41,18.37
stride,256,41,18.28
stride,512,41,18.41
stride,1024,41,18.58
random,NA,41,19.27
sequential,1,42,6.20
stride,2,42,6.57
stride,4,42,7.43
stride,8,42,10.05
stride,16,42,17.79
stride,32,42,18.40
stride,64,42,18.37
stride,128,42,18.41
stride,256,42,18.31
stride,512,42,18.26
stride,1024,42,18.45
random,NA,42,19.30
sequential,1,43,6.20
stride,2,43,6.58
stride,4,43,7.42
stride,8,43,10.04
stride,16,43,17.76
stride,32,43,18.40
stride,64,43,18.39
stride,128,43,18.34
stride,256,43,18.32
stride,512,43,18.48
stride,1024,43,18.73
random,NA,43,19.30
sequential,1,44,6.20
stride,2,44,6.58
stride,4,44,7.42
stride,8,44,10.04
stride,16,44,17.80
stride,32,44,18.39
stride,64,44,18.40
stride,128,44,18.62
stride,256,44,18.45
stride,512,44,18.28
stride,1024,44,18.52
random,NA,44,19.34
sequential,1,45,6.20
